日期,金额,标签
2022-10-31,13,奶茶
2022-10-31,10.63,交通
2022-10-30,15,喝的
2022-10-30,18.50,吃的
2022-10-30,14,吃的
2022-10-29,10.48,购物
2022-10-28,15,吃的
2022-10-28,2,交通
2022-10-28,15.20,奶茶
2022-10-28,11.40,交通
2022-10-27,13.90,吃的
2022-10-27,2,交通
2022-10-27,12.22,吃的
2022-10-26,47,吃的
2022-10-26,2,交通
2022-10-26,4,交通
2022-10-26,12.09,交通
2022-10-25,6,购物
2022-10-25,5.90,吃的
2022-10-25,2,交通
2022-10-25,11.24,交通
2022-10-24,12,吃的
2022-10-24,2,交通
2022-10-24,10,充会员
2022-10-24,11.24,交通
2022-10-24,6.55,购物
2022-10-23,69.90,购物
2022-10-23,43,购物
2022-10-23,99,购物
2022-10-23,88.90,购物
2022-10-23,184.79,购物
2022-10-23,19,吃的
2022-10-23,8.20,吃的
2022-10-23,10,吃的
2022-10-23,50,生活
2022-10-22,11.50,购物
2022-10-22,32.50,购物
2022-10-22,14,交通
2022-10-22,13,奶茶
2022-10-22,14,交通
2022-10-22,3,其它
2022-10-22,2.50,吃的
2022-10-22,16,吃的
2022-10-21,6,吃的
2022-10-21,12.09,交通
2022-10-21,16.60,吃的
2022-10-20,17.50,喝的
2022-10-20,6,吃的
2022-10-20,15,吃的
2022-10-20,25,吃的
2022-10-20,6,吃的
2022-10-20,12.09,交通
2022-10-19,40.90,购物
2022-10-19,2,交通
2022-10-19,22.40,奶茶
2022-10-19,12.09,交通
2022-10-19,7.03,吃的
2022-10-18,15,吃的
2022-10-18,2,交通
2022-10-18,8.22,吃的
2022-10-18,6.22,交通
2022-10-18,7,吃的
2022-10-17,15,购物
2022-10-17,14,吃的
2022-10-17,25,吃的
2022-10-16,90,购物
2022-10-16,52.20,吃的
2022-10-15,25,购物
2022-10-15,6,吃的
2022-10-15,15,吃的
2022-10-15,202,购物
2022-10-15,22.38,吃的
2022-10-14,40,购物
2022-10-14,18,其它
2022-10-14,20.60,奶茶
2022-10-14,12.09,交通
2022-10-14,6,吃的
2022-10-14,9,吃的
2022-10-13,11,吃的
2022-10-13,69,购物
2022-10-13,20.69,吃的
2022-10-13,5.50,吃的
2022-10-12,21,吃的
2022-10-12,2,交通
2022-10-12,11.98,交通
2022-10-12,7,吃的
2022-10-12,6,吃的
2022-10-11,70,其它
2022-10-02,3.60,交通
2022-10-11,8,交通
2022-10-11,11.44,奶茶
2022-10-11,6,吃的
2022-10-11,3,吃的
2022-10-11,9.75,交通
2022-10-11,13,吃的
2022-10-11,6,吃的
2022-10-11,5.74,交通
2022-10-10,15,吃的
2022-10-10,8,吃的
2022-10-10,2,交通
2022-10-10,13,吃的
2022-10-09,20,吃的
2022-10-09,2,交通
2022-10-09,15.88,吃的
2022-10-09,7,吃的
2022-10-09,12.24,交通
2022-10-08,2,交通
2022-10-08,20,购物
2022-10-08,44,吃的
2022-10-08,85,购物
2022-10-08,12,交通
2022-10-08,23.02,吃的
2022-10-08,12.24,交通
2022-10-08,7,吃的
2022-10-07,3,吃的
2022-10-07,11,吃的
2022-10-07,58.40,喝的
2022-10-07,24,喝的
2022-10-07,18.40,吃的
2022-10-06,5,喝的
2022-10-06,31,吃的
2022-10-06,23.40,奶茶
2022-10-06,19.37,吃的
2022-10-05,5,喝的
2022-10-05,23.01,吃的
2022-10-05,20,其它
2022-10-05,20.10,吃的
2022-10-04,5,购物
2022-10-04,15,吃的
2022-10-04,21.38,吃的
2022-10-04,27,吃的
2022-10-03,27.20,吃的
2022-10-03,20.99,吃的
2022-10-03,15,吃的
2022-10-02,12.49,购物
2022-10-02,18,吃的
2022-10-02,11.32,交通
2022-10-02,25,生活
2022-10-02,13,奶茶
2022-10-02,36,交通
2022-10-02,5.50,吃的
2022-10-01,10,吃的
2022-10-01,10,喝的
2022-10-01,16,奶茶
2022-10-01,3.60,交通
2022-10-01,8,交通
2022-10-01,7,吃的
2022-10-01,10,吃的
2022-10-01,21,吃的
2022-10-01,5,吃的
2022-10-01,36,交通
